ID,Lat,Long,Name
"11",61.41245,9.34860,Oppland
"16",59.51580,8.52545,Telemark
"15",61.40457,6.55958,Sogn og Fjordane
"4",60.29342,9.09518,Buskerud
"19",59.32118,10.13480,Vestfold
"3",58.86809,7.96823,Aust-Agder
"1",59.36788,11.30874,Ãstfold
"2",60.01661,11.16031,Akershus
"17",69.27988,19.53481,Troms
"6",61.45284,11.41409,Hedmark
"14",63.12609,10.37214,Sør-Trøndelag
"10",66.91887,14.73268,Nordland
"9",64.29029,12.23578,Nord-Trøndelag
"7",60.32177,6.26124,Hordaland
"13",59.10513,6.21129,Rogaland
"8",62.60463,7.67208,Møre og Romsdal
"12",59.97924,10.73824,Oslo
"5",69.95184,25.84141,Finnmark
"18",58.47924,7.18365,Vest-Agder
